"ts";"val"
"2019-12-28T04:17:08.330";81.0
"2019-12-28T04:18:09.220";81.0
"2019-12-28T04:19:10.104";82.0
"2019-12-28T04:20:10.991";83.0
"2019-12-28T04:21:11.897";85.0
"2019-12-28T04:22:12.774";86.0
"2019-12-28T04:23:13.656";87.0
"2019-12-28T04:24:14.544";87.0
"2019-12-28T04:25:15.432";87.0
"2019-12-28T04:26:16.317";89.0
"2019-12-28T04:27:17.209";90.0
"2019-12-28T04:28:18.144";91.0
"2019-12-28T04:29:18.984";93.0
"2019-12-28T04:30:19.934";94.0
"2019-12-28T04:31:20.760";94.0
"2019-12-28T04:32:21.646";94.0
"2019-12-28T04:33:22.536";94.0
"2019-12-28T04:34:23.463";94.0
"2019-12-28T04:35:24.311";94.0
"2019-12-28T04:36:25.202";94.0
"2019-12-28T04:37:26.091";95.0
"2019-12-28T04:38:29.679";95.0
"2019-12-28T04:40:28.755";95.0
"2019-12-28T04:41:35.516";95.0
"2019-12-28T04:43:19.427";95.0
"2019-12-28T04:44:25.238";91.0
"2019-12-28T04:45:26.133";90.0
"2019-12-28T04:46:27.023";89.0
"2019-12-28T04:47:27.902";87.0
"2019-12-28T04:48:28.803";88.0
"2019-12-28T04:49:29.708";85.0
"2019-12-28T04:50:30.592";87.0
"2019-12-28T04:51:31.498";87.0
"2019-12-28T04:52:32.343";88.0
"2019-12-28T04:53:33.222";89.0
"2019-12-28T04:54:37.282";90.0
"2019-12-28T04:56:29.802";92.0
"2019-12-28T04:57:30.573";93.0
"2019-12-28T04:59:29.025";93.0
"2019-12-28T05:00:30.091";93.0
"2019-12-28T05:01:31.697";93.0
"2019-12-28T05:02:32.408";93.0
"2019-12-28T05:03:33.178";93.0
"2019-12-28T05:04:34.340";94.0
"2019-12-28T05:05:36.784";94.0
"2019-12-28T05:06:35.462";93.0
"2019-12-28T05:07:36.243";94.0
"2019-12-28T05:08:36.999";94.0
"2019-12-28T05:09:37.743";94.0
"2019-12-28T05:10:48.813";94.0
"2019-12-28T05:11:49.694";94.0
"2019-12-28T05:13:11.989";94.0
"2019-12-28T05:15:15.912";94.0
"2019-12-28T05:17:07.715";94.0
"2019-12-28T05:18:08.511";94.0
"2019-12-28T05:19:09.479";94.0
"2019-12-28T05:20:10.213";94.0
"2019-12-28T05:21:10.912";94.0
"2019-12-28T05:22:11.824";94.0
"2019-12-28T05:23:12.702";94.0
"2019-12-28T05:24:13.591";94.0
"2019-12-28T05:25:14.479";94.0
"2019-12-28T05:26:15.391";94.0
"2019-12-28T05:27:16.239";94.0
"2019-12-28T05:29:05.825";94.0
"2019-12-28T05:30:06.513";94.0
"2019-12-28T05:31:07.240";94.0
"2019-12-28T05:32:08.031";94.0
"2019-12-28T05:33:08.769";94.0
"2019-12-28T05:34:09.567";94.0
"2019-12-28T05:35:10.375";94.0
"2019-12-28T05:36:11.135";94.0
"2019-12-28T05:37:11.892";94.0
"2019-12-28T05:38:12.626";94.0
"2019-12-28T05:39:13.357";94.0
"2019-12-28T05:40:14.118";94.0
"2019-12-28T05:41:14.916";94.0
"2019-12-28T05:42:15.642";94.0
"2019-12-28T05:43:16.433";94.0
"2019-12-28T05:44:17.200";93.0
"2019-12-28T05:45:27.195";94.0
"2019-12-28T05:46:28.088";94.0
"2019-12-28T05:47:29.003";95.0
"2019-12-28T05:48:29.882";94.0
"2019-12-28T05:49:30.768";94.0
"2019-12-28T05:50:31.688";94.0
"2019-12-28T05:51:32.594";94.0
"2019-12-28T05:52:33.478";93.0
"2019-12-28T05:53:34.358";94.0
"2019-12-28T05:54:35.247";94.0
"2019-12-28T05:56:20.677";93.0
"2019-12-28T05:57:21.445";93.0
"2019-12-28T05:58:22.199";93.0
"2019-12-28T05:59:22.949";93.0
"2019-12-28T06:00:23.746";92.0
"2019-12-28T06:01:24.479";92.0
"2019-12-28T06:02:25.256";92.0
"2019-12-28T06:03:26.033";92.0
"2019-12-28T06:04:26.798";91.0
"2019-12-28T06:05:27.533";91.0
"2019-12-28T06:06:28.310";91.0
"2019-12-28T06:07:29.079";92.0
"2019-12-28T06:09:16.592";91.0
"2019-12-28T06:10:17.432";91.0
"2019-12-28T06:11:18.359";92.0
"2019-12-28T06:12:19.239";91.0
"2019-12-28T06:13:20.143";91.0
"2019-12-28T06:14:21.163";91.0
"2019-12-28T06:16:12.519";92.0
"2019-12-28T06:17:13.332";92.0
"2019-12-28T06:18:14.041";93.0
"2019-12-28T06:19:14.839";93.0
"2019-12-28T06:20:15.613";93.0
"2019-12-28T06:21:39.824";93.0
"2019-12-28T06:22:40.759";93.0
"2019-12-28T06:23:41.641";93.0
"2019-12-28T06:24:42.456";92.0
"2019-12-28T06:25:43.365";93.0
"2019-12-28T06:26:44.272";92.0
"2019-12-28T06:27:45.120";91.0
"2019-12-28T06:28:46.035";92.0
"2019-12-28T06:29:46.919";92.0
"2019-12-28T06:30:47.879";92.0
"2019-12-28T06:31:48.788";93.0
"2019-12-28T06:32:49.679";94.0
"2019-12-28T06:33:50.548";94.0
"2019-12-28T06:34:51.447";94.0
"2019-12-28T06:35:52.382";94.0
"2019-12-28T06:36:53.158";94.0
"2019-12-28T06:37:54.168";94.0
"2019-12-28T06:38:55.038";94.0
"2019-12-28T06:39:55.909";94.0
"2019-12-28T06:40:56.833";94.0
"2019-12-28T06:41:57.713";94.0
"2019-12-28T06:42:58.598";94.0
"2019-12-28T06:43:59.399";94.0
"2019-12-28T06:45:32.193";94.0
"2019-12-28T06:46:49.132";94.0
"2019-12-28T06:48:34.037";93.0
"2019-12-28T06:49:34.760";93.0
"2019-12-28T06:50:35.454";93.0
"2019-12-28T06:51:36.240";93.0
"2019-12-28T06:53:13.377";93.0
"2019-12-28T06:54:26.862";93.0
"2019-12-28T06:56:17.575";93.0
"2019-12-28T06:57:16.163";92.0
"2019-12-28T06:58:17.041";92.0
"2019-12-28T06:59:17.714";92.0
"2019-12-28T07:00:18.465";92.0
"2019-12-28T07:01:19.234";92.0
"2019-12-28T07:02:20.114";92.0
"2019-12-28T07:03:20.790";92.0
"2019-12-28T07:04:22.588";null
"2019-12-28T07:05:22.287";91.0
"2019-12-28T07:06:23.040";91.0
"2019-12-28T07:07:23.855";92.0
"2019-12-28T07:08:24.565";92.0
